X,Y,numero
1578.67633969738,2930.69650563027,83
1676.12038383202,2722.89414645158,110
1854.57212730751,2788.63952562676,108
1734.82161523843,2984.70163852417,81
1809.95919143863,3016.40030348363,79
1975.49666400471,3069.2314117494,77
2067.07058499871,2886.0835697614,106
2118.72766863635,2913.08613620835,104
2195.03926946469,2973.54840455695,102
2256.08855012736,3029.90158670711,100
2261.958673268,3198.96113315757,75
2419.27797343718,3110.90928604795,98
2508.50384517492,3174.30661596688,96
2709.26205658485,3314.01554671413,94
2750.35291856933,3342.19213778921,94
2588.33751988764,3385.63104902995,73
2521.41811608433,3486.59716704898,2
2759.74511559436,3500.68546258652,73
2912.36831725103,3443.15825580824,92
3003.41639879062,3509.73843554018,90
3067.36003099735,3546.47201148873,88
3143.54818852027,3598.17111837928,86
3214.29433479155,3644.42821401819,84
2923.14673282898,3607.69463806965,73
3089.1280760039,3721.97687435402,71
3308.16902888228,3708.37184622493,82
3237.422882611,3824.01458532221,69
3295.9245035661,3855.30615001912,65
3359.86813577283,3898.84224003222,63
3412.92774547629,3938.29682160658,61
3451.02182423775,3962.78587223895,59
3391.15970046974,3764.1524615542,80
3427.89327641829,3790.00201499948,78
3480.95288612175,3825.37508813512,76
3532.6519930123,3866.19017252239,74
3584.35109990285,3900.20274284512,72
3652.37624054831,3943.73883285822,70
3732.64590650995,3988.63542568422,68
3665.9812686774,4108.35967322023,57
3770.73998527141,4015.84548194241,66
3795.22903590378,4033.53201851023,64
3819.71808653614,4051.21855507805,62
3867.33568498796,4082.51011977496,62
3919.03479187851,4116.52269009769,60
3958.48937345288,4139.65123791714,58
4000.66496065307,4169.58229980115,56
4093.17915193089,4244.40995451115,54
3999.30445784016,4324.6796204728,55
4255.07898666709,4320.59811203407,52
4185.69334320872,4428.0778342539,53
4263.24200354454,4472.9744270799,51
4338.06965825455,4519.23152271881,49
4391.12926795801,4550.52308741572,47
4384.32675389346,4394.06526393117,50
4436.02586078401,4426.71733144099,48
4483.64345923583,4455.28789051208,46
4561.19211957166,4498.82398052517,46
4536.02281753284,4629.77237626769,45
4585.00091879757,4663.78494659041,43
4628.53700881066,4696.43701410024,41
4667.99159038503,4729.08908161006,39
4702.00416070776,4753.57813224242,37
4740.09823946922,4772.62517162315,35
4682.95712132703,4582.15477781586,44
4748.26125634667,4617.5278509515,44
4836.69393918577,4676.0294719066,42
4906.07958264414,4718.20505910678,40
5029.88533861888,4775.34617724897,38
4778.19231823068,4838.60955804925,33
4840.7754476245,4859.01710024289,31
4919.68461077323,4882.14564806234,29
5019.00131611561,4917.51872119798,27
5111.51550739343,4962.41531402399,25
5125.12053552252,4815.48101022979,36
5216.27422398744,4863.09860868161,34
5331.91696308472,4920.2397268238,32
5304.70690682654,5080.09880734063,23
5420.34964592382,4964.45606824335,30
5487.01428375637,4998.46863856608,28
5530.55037376947,5018.87618075972,26
5691.08970569275,5105.94836078591,24
5512.86383720165,5212.74783159928,21
5876.11808824841,5237.23688223164,22
5953.66674858423,5295.73850318674,20
5870.67607699677,5418.18375634857,19
5979.51630202951,5492.33115965212,17
4592.48368426857,4477.39606122185,1
4665.27058475921,4545.42120186731,2
4633.29876865585,4431.13896558294,3
4684.31762413994,4375.35835025366,5
4705.40541774004,4503.24561466713,4
4740.09823946922,4468.55279293794,4
4737.3772338434,4317.87710640825,5
4857.10148137941,4201.89424160774,7
4942.13290718624,4111.08067884605,9
4999.27402532842,4041.35490968445,11
5050.29288081252,3984.89404294872,13
5090.42771379334,3942.71845574854,15
5142.12682068389,3893.06010307735,17
5234.64101196172,3788.64151218657,21
5275.45609634899,3746.46592498638,23
5315.59092932982,3700.5489550507,25
5360.48752215582,3652.93135659888,25
5467.28699296919,3545.11150867582,2
5569.32470393738,3627.42192885683,2
5696.53171694439,3544.43125726937,4
5784.28414837704,3482.528379282,4
5727.8232816413,3383.55179964285,1
5798.56942791258,3327.09093290712,3
5846.86727777086,3431.16939809468,6
5923.05543529378,3379.47029120413,8
6035.97716876524,3304.98276219735,10
5910.13065857114,4246.45070873052,12
5820.33747291913,4306.31283249852,21
3861.21342232988,5280.43284654151,6
4204.74038258945,2531.53691305846,21
4269.36426620264,2587.9977797942,19
4486.36446486166,2737.99321491744,17
4777.51206682422,2930.84448864732,11
4846.21745887614,2986.62510397659,9
5082.94494832234,3014.175285938,4
5167.97637412917,3110.0907342481,4
2427.92370893003,3574.02219345014,4
2379.62585907175,3614.83727783742,6
2285.07091357456,3697.82794942488,8
2185.75420823219,3794.42364914143,10
2115.68831336737,3857.00677853526,12
2069.43121772845,3899.52249143867,14
1870.79780704371,4082.16999407173,16
1658.55936822988,4276.04164491129,18
1613.66277540387,4319.57773492438,20
1557.20190866814,4371.95709322139,22
1494.61877927432,4428.75808566035,24
1434.07640409986,4483.17819817672,26
1377.61553736413,4532.15629944145,28
1316.39291078321,4586.91653766104,30
1257.89128982812,4639.63602166127,32
1204.83168012466,4688.614122926,34
1122.52125994365,4761.40102341665,36
1040.8910911691,4835.20830101697,38
995.994498343098,4878.06413962361,40
918.445838007273,4949.49053730134,42
984.430224433369,5405.59910532915,46
1291.22360874439,5549.81240349753,42
1602.7787529006,5699.46771291754,40
1712.29922933979,5745.72480855645,38
1794.6096495208,5787.22014435018,36
1940.86370190853,5855.58541069887,34
2107.52529648991,5932.45381962824,32
2808.18424513815,6351.48868600427,28
2967.36307424852,6422.23483227555,28
3034.02771208107,6458.9684082241,26
3046.27223739726,6056.25957560297,2
3481.6331375282,6370.535725385,1
3551.01878098657,6310.67360161699,3
3545.57676973493,6506.58600667592,2
3669.38252570967,6395.02477601736,2
4083.65563224052,6040.27366755129,4
4150.32027007307,5977.01028675101,6
4212.22314806044,5928.03218548628,8
4497.24848736492,6483.45745885646,25
3434.69579048283,6638.55477952811,24
3744.21018041967,6786.16933472876,22
3859.85291951696,6842.29007576126,20
4084.33588364697,6948.74942087141,18
4166.64630382798,6996.70714502646,18
4210.86264524753,7017.11468722009,16
4264.60250635744,7047.0457491041,14
4403.37379327418,7102.48623873015,12
4495.88798455201,7146.70258014969,12
4807.44312870821,6953.17105501336,2
4909.4808396764,6883.78541155499,3
5200.62844163897,6661.68332734757,5
5391.77908685271,6581.0735356827,7
5554.35917299536,6471.21293354028,19
5721.70101898319,6356.93069725591,21
5784.96439978347,6315.7754871654,23
5852.98954042893,6272.91964855876,25
5989.72007312631,6179.04495446803,27
6047.54144267495,6139.59037289366,29
5957.74825702294,6340.26453779777,14
5865.91431715157,6401.48716437868,12
5595.17425738264,6580.39328427624,10
5531.23062517591,6618.4873630377,8
5408.78537201408,6697.05640048321,8
5345.5219912138,6774.60506081903,32
5470.68825000145,6836.5079388064,30
5535.99238502109,6869.16000631622,28
5624.42506786019,6914.05659914222,26
5715.5787563251,6958.613066265,24
5770.67912024793,6983.78236830382,22
5884.9613565323,6992.62563658773,18
5941.42222326803,6957.93281485854,16
6017.61038079094,6919.83873609709,14
5989.03982171985,7050.44700613637,15
5955.70750280358,7072.89530254937,20 bis
6038.01792298458,7111.66963271728,20
5877.4785910613,7152.48471710456,21
5944.8234803003,7187.8577902402,19
6014.20912375867,7217.10860071775,17
5695.85146553792,7062.0112800461,23
5722.38127038965,7202.14306977575,17
5669.32166068619,7230.71362884684,19
5521.02685407909,7192.61955008538,20
5550.27766455664,7294.65726105357,21
5338.71947714926,7296.01776386648,22
5389.73833263335,7380.36893826685,23
5270.01408509734,7333.09146551826,24
5306.06740963944,7426.28590820254,25
5152.3305917807,7392.2733378798,26
5204.02969867124,7493.29067173831,14 bis
5335.31822011698,7543.62927581595,18
5388.37782982044,7570.15908066768,18
3058.51676271344,7149.42358577551,80
2902.05893922888,7222.21048626616,107
3007.49790722935,6985.82312252318,109
2948.99628627425,6938.88577547782,15
2831.31279295761,6883.78541155499,17
2755.12463543469,6848.75246412258,19
2595.26555491786,6771.88405519321,21
2554.45047053058,6752.83701581248,23
2510.23412911103,6731.06897080594,25
2472.82030175603,6713.04230853489,27
2444.92999409139,6701.47803462516,29
2365.34057953621,6659.30244742498,31
2269.42513122611,6611.34472326993,33
2190.51596807737,6682.43099524443,33
2174.87018572892,6758.61915276735,8
2246.29658340665,6806.91700262562,6
2432.68546877521,6938.20552407136,4
2531.32192271113,7002.82940768455,2
2105.48454227055,6851.13334404517,3
