sheet;width;height
Atlas_de_Jacoubet_-_01_et_02._Feuille_de_titre_-_BHVP.jpg;12098;7866
Atlas_de_Jacoubet_-_03._Partie_de_la_commune_de_Monceau_et_de_ses_environs_-_BHVP.jpg;6416;6821
Atlas_de_Jacoubet_-_04._Partie_de_la_commune_de_Clichy_et_de_ses_environs_-_BHVP.jpg;6396;6796
Atlas_de_Jacoubet_-_05._Partie_de_la_commune_de_Montmartre_et_de_ses_environs_-_BHVP.jpg;6396;6686
Atlas_de_Jacoubet_-_06._Partie_de_la_commune_de_La_Chapelle_et_de_ses_environs_-_BHVP.jpg;6361;6676
Atlas_de_Jacoubet_-_07._Barrière_de_la_Villette_et_ses_environs_-_BHVP.jpg;6311;6716
Atlas_de_Jacoubet_-_08_et_09._Plan_d'assemblage_-_BHVP.jpg;12381;8011
Atlas_de_Jacoubet_-_10._Route_de_Neuilly_à_Paris_et_ses_environs_-_BHVP.jpg;6506;8051
Atlas_de_Jacoubet_-_11._Hospice_Beaujon_et_ses_environs_-_BHVP.jpg;6346;8021
Atlas_de_Jacoubet_-_12._Abattoir_du_Roule_et_ses_environs_-_BHVP.jpg;6296;7996
Atlas_de_Jacoubet_-_13._Collège_Bourbon_et_ses_environs_-_BHVP.jpg;6371;8201
Atlas_de_Jacoubet_-_14._Académie_Royale_de_Musique_et_ses_environs_-_BHVP.jpg;6281;7961
Atlas_de_Jacoubet_-_15._Eglise_St_Laurent_et_ses_environs_-_BHVP.jpg;6291;7986
Atlas_de_Jacoubet_-_16._Hospice_St_Louis_et_ses_environs_-_BHVP.jpg;6236;8021
Atlas_de_Jacoubet_-_17._Commune_de_Belleville_et_ses_environs_(ouest)_-_BHVP.jpg;6221;7991
Atlas_de_Jacoubet_-_18._Commune_de_Belleville_et_ses_environs_(est)_-_BHVP.jpg;6326;8086
Atlas_de_Jacoubet_-_19._Partie_de_la_commune_de_Passy,_Barrière_de_Longchamp_et_ses_environs_-_BHVP.jpg;6789;8179
Atlas_de_Jacoubet_-_20._Eglise_St_Pierre,_Gros_Caillou_et_Chaillot_et_leurs_environs_-_BHVP.jpg;6801;8261
Atlas_de_Jacoubet_-_21._Champs-Elysées_et_leurs_environs_-_BHVP.jpg;6832;8292
Atlas_de_Jacoubet_-_22._Tuileries_et_leurs_environs_-_BHVP.jpg;6881;8316
Atlas_de_Jacoubet_-_23._Eglise_St_Eustache_et_ses_environs_-_BHVP.jpg;6776;8151
Atlas_de_Jacoubet_-_24._Eglise_St_Nicolas_des_Champs_et_ses_environs_-_BHVP.jpg;6746;8146
Atlas_de_Jacoubet_-_25._Théâtres_de_la_Gaîté_et_du_Cirque-Olympique_et_leurs_environs_-_BHVP.jpg;6734;8176
Atlas_de_Jacoubet_-_26._Abattoir_Ménilmontant_et_ses_environs_-_BHVP.jpg;6691;8101
Atlas_de_Jacoubet_-_27._Cimetière_du_Père-Lachaise_et_ses_environs_-_BHVP.jpg;6721;8161
Atlas_de_Jacoubet_-_28._Barrière_de_la_Cunette_et_ses_environs_-_BHVP.jpg;6666;8091
Atlas_de_Jacoubet_-_29._Champ_de_Mars_et_ses_environs_-_BHVP.jpg;6644;8069
Atlas_de_Jacoubet_-_30._Hôtel_Royal_des_Invalides_et_ses_environs_-_BHVP.jpg;6656;8086
Atlas_de_Jacoubet_-_31._Eglise_St_Sulpice_et_ses_environs_-_BHVP.jpg;6716;8139
Atlas_de_Jacoubet_-_32._Palais_de_Justice_et_ses_environs_-_BHVP.jpg;6721;8121
Atlas_de_Jacoubet_-_33._Ile_Saint-Louis_et_ses_environs_-_BHVP.jpg;6686;8131
Atlas_de_Jacoubet_-_34.Place_de_la_Bastille_et_ses_environs_-_BHVP.jpg;6676;8111
Atlas_de_Jacoubet_-_35._Manufacture_des_Glaces_et_ses_environs_-_BHVP.jpg;6676;8146
Atlas_de_Jacoubet_-_36._Barrière_du_Trône_et_ses_environs_-_BHVP.jpg;6801;8147
Atlas_de_Jacoubet_-_37._Plaine_de_Grenelle_(ouest)_-_BHVP.jpg;6721;8171
Atlas_de_Jacoubet_-_38._Plaine_de_Grenelle_(est)_-_BHVP.jpg;6747;8152
Atlas_de_Jacoubet_-_39._Barrière_du_Maine_et_ses_environs_-_BHVP.jpg;6789;8152
Atlas_de_Jacoubet_-_40._Barrière_du_Mont-Parnasse_et_ses_environs_-_BHVP.jpg;6686;8086
Atlas_de_Jacoubet_-_41._Hôpital_Militaire_du_Val-de-Grâce_et_ses_environs_-_BHVP.jpg;6759;8131
